iter	Logloss
0	0.6879021552
1	0.6829818831
2	0.6775931064
3	0.6726492171
4	0.66763241
5	0.6642009609
6	0.6600196093
7	0.6560561256
8	0.652044404
9	0.6480159732
10	0.6447027868
11	0.6413854675
12	0.6380936546
13	0.6354497774
14	0.6321181697
15	0.6290405641
16	0.6267620436
17	0.6239421007
18	0.621287832
19	0.6188299986
20	0.6163687997
21	0.6138666842
22	0.6117500591
23	0.6093596526
24	0.6070640097
25	0.6050784006
26	0.6031557901
27	0.6013718711
28	0.5997012553
29	0.5979633897
30	0.5964206015
31	0.5948769277
32	0.5931049944
33	0.5919321093
34	0.5900931624
35	0.5885080996
36	0.5868382513
37	0.5855720196
38	0.5842233641
39	0.5827791774
40	0.5813089528
41	0.5800104246
42	0.5787907186
43	0.5775576098
44	0.5767356751
45	0.5757706797
46	0.5745770706
47	0.5735009566
48	0.5726917161
49	0.5715339459
50	0.5706024278
51	0.5698109001
52	0.5689466317
53	0.5680796473
54	0.5671973118
55	0.5665375676
56	0.5657776278
57	0.5652079239
58	0.5643876424
59	0.5636695049
60	0.5629702611
61	0.562251297
62	0.5614307202
63	0.5607999661
64	0.5600730903
65	0.5593375351
66	0.5585042642
67	0.5578546163
68	0.5570687568
69	0.5563877572
70	0.5558174038
71	0.5551238281
72	0.5545065947
73	0.5539763904
74	0.5533984205
75	0.5527691424
76	0.5521217973
77	0.5516388272
78	0.5512582374
79	0.550732107
80	0.5502287082
81	0.5497699457
82	0.5492604654
83	0.5486646055
84	0.5482125739
85	0.5477545789
86	0.5473418108
87	0.5468493348
88	0.5462503457
89	0.5457723352
90	0.5452085356
91	0.5448114728
92	0.5444580427
93	0.5441196094
94	0.5437452781
95	0.5432935416
96	0.5427828805
97	0.542329668
98	0.5419215052
99	0.5415758096
100	0.541190024
101	0.5407385238
102	0.5403844442
103	0.5400636056
104	0.5397898242
105	0.5395269657
106	0.5391458444
107	0.5388097729
108	0.5385221164
109	0.5381112376
110	0.5377168907
111	0.5372962699
112	0.5369093625
113	0.536596967
114	0.5361696153
115	0.5360149822
116	0.5356823942
117	0.5353067639
118	0.5348558541
119	0.5344756185
120	0.5340902462
121	0.5338723193
122	0.5335945819
123	0.5332756918
124	0.5330022056
125	0.5326726878
126	0.5324091207
127	0.5322145157
128	0.5318899575
129	0.5315734881
130	0.5312755581
131	0.530945627
132	0.530710991
133	0.5303811189
134	0.5300284563
135	0.529815548
136	0.5297084443
137	0.5294961264
138	0.5291301792
139	0.5287886757
140	0.528538039
141	0.5282035616
142	0.5279174402
143	0.5276270678
144	0.5273786157
145	0.5271683643
146	0.5269419942
147	0.5266529207
148	0.526443614
149	0.5261691241
150	0.5257940252
151	0.5256363809
152	0.5253803714
153	0.5251004495
154	0.5248241883
155	0.5245655808
156	0.5243017776
157	0.5241460818
158	0.523965588
159	0.5237802526
160	0.5235400075
161	0.5233583919
162	0.5231247005
163	0.5229641041
164	0.5226641667
165	0.5224236854
166	0.522223058
167	0.5220772813
168	0.5218007249
169	0.5215606569
170	0.5211928203
171	0.5210589703
172	0.520844704
173	0.5206059349
174	0.5203910192
175	0.5201996024
176	0.5198598112
177	0.5196225182
178	0.5194294482
179	0.5192432863
180	0.5190476775
181	0.5187754903
182	0.5186029672
183	0.5183261155
184	0.5180806747
185	0.517843795
186	0.5176693826
187	0.5174558838
188	0.5173199673
189	0.5171006824
190	0.5169061954
191	0.5167415841
192	0.5164786075
193	0.5161353327
194	0.515944034
195	0.5156981799
196	0.515490054
197	0.5153712599
198	0.5151846256
199	0.5148477275
200	0.5145830977
201	0.5144034895
202	0.514191762
203	0.5140517125
204	0.5138166632
205	0.5136541183
206	0.5133778571
207	0.513293544
208	0.5130777426
209	0.5129159653
210	0.5126679266
211	0.5124803476
212	0.5123404162
213	0.5121603947
214	0.5119243416
215	0.5117117285
216	0.511535722
217	0.511298488
218	0.5111230719
219	0.5109989639
220	0.5108036504
221	0.5106083368
222	0.5104051705
