iter	Passed	Remaining
0	7	7891
1	12	6363
2	18	6209
3	24	5983
4	28	5665
5	33	5603
6	38	5486
7	42	5320
8	47	5190
9	51	5123
10	56	5044
11	60	4974
12	64	4914
13	69	4895
14	73	4851
15	78	4797
16	83	4815
17	87	4770
18	91	4729
19	95	4702
20	100	4690
21	104	4664
22	109	4645
23	114	4660
24	118	4639
25	123	4625
26	128	4629
27	133	4625
28	137	4601
29	142	4593
30	147	4613
31	152	4603
32	157	4612
33	163	4649
34	169	4660
35	174	4681
36	180	4689
37	186	4709
38	191	4719
39	198	4769
40	204	4782
41	210	4797
42	216	4818
43	222	4844
44	230	4884
45	235	4886
46	242	4918
47	247	4917
48	253	4914
49	258	4908
50	263	4906
51	268	4900
52	274	4910
53	281	4925
54	288	4964
55	295	4986
56	300	4978
57	305	4959
58	309	4937
59	313	4918
60	318	4897
61	323	4890
62	327	4876
63	332	4864
64	337	4854
65	342	4853
66	348	4857
67	353	4842
68	357	4825
69	361	4805
70	366	4790
71	370	4774
72	374	4758
73	379	4743
74	383	4735
75	388	4722
76	392	4706
77	396	4692
78	401	4676
79	405	4662
80	410	4653
81	414	4638
82	418	4623
83	422	4611
84	427	4599
85	431	4586
86	435	4573
87	440	4564
88	444	4551
89	448	4538
90	453	4530
91	457	4516
92	461	4502
93	465	4488
94	470	4482
95	474	4472
96	478	4459
97	483	4448
98	488	4447
99	493	4442
100	498	4435
101	502	4427
102	507	4417
103	511	4408
104	516	4403
105	520	4393
106	525	4386
107	530	4377
108	534	4371
109	538	4360
110	543	4350
111	547	4341
112	552	4333
113	557	4334
114	563	4337
115	570	4344
116	575	4344
117	579	4335
118	584	4327
119	590	4333
120	595	4325
121	600	4320
122	605	4316
123	609	4309
124	614	4303
125	619	4295
126	623	4285
127	627	4277
128	632	4269
129	636	4262
130	641	4252
131	645	4244
132	650	4238
133	654	4230
134	659	4222
135	663	4216
136	668	4208
137	672	4200
138	676	4192
139	681	4185
140	685	4177
141	690	4170
142	694	4164
143	699	4159
144	704	4154
145	710	4153
146	716	4156
147	721	4150
148	725	4144
149	730	4141
150	738	4154
151	745	4157
152	751	4162
153	756	4157
154	761	4152
155	768	4156
156	774	4156
157	779	4155
158	786	4158
159	791	4156
160	796	4152
161	802	4153
162	807	4147
163	812	4140
164	817	4136
165	822	4132
166	827	4125
167	831	4118
168	835	4110
169	840	4104
170	845	4096
171	849	4087
172	853	4080
173	859	4078
174	863	4069
175	867	4061
176	872	4058
177	877	4053
178	881	4044
179	886	4038
180	890	4031
181	895	4023
182	899	4016
183	904	4009
184	908	4001
185	912	3993
186	916	3985
187	921	3979
188	925	3971
189	929	3964
190	934	3956
191	938	3950
192	943	3943
193	947	3937
194	952	3931
195	956	3924
196	961	3918
197	965	3911
198	970	3906
199	975	3900
200	979	3894
201	984	3888
202	989	3883
203	994	3881
204	1002	3888
205	1009	3891
206	1015	3891
207	1022	3894
208	1028	3893
209	1035	3895
210	1041	3896
211	1050	3903
212	1057	3906
213	1064	3908
214	1071	3911
215	1077	3910
216	1082	3907
217	1088	3905
218	1094	3903
219	1101	3904
220	1107	3903
221	1114	3904
222	1120	3903
223	1125	3899
224	1130	3894
225	1135	3889
226	1141	3886
227	1146	3881
228	1151	3878
229	1157	3876
230	1164	3876
231	1169	3872
232	1175	3868
233	1180	3863
234	1185	3859
235	1190	3854
236	1195	3849
237	1199	3841
238	1204	3836
239	1210	3831
240	1215	3828
241	1221	3824
242	1226	3820
243	1231	3816
244	1239	3821
245	1249	3828
246	1256	3829
247	1264	3833
248	1279	3858
249	1293	3879
250	1300	3880
251	1308	3882
252	1313	3878
253	1320	3876
254	1330	3886
255	1336	3883
256	1342	3881
257	1348	3878
258	1353	3872
259	1359	3867
260	1365	3865
261	1370	3859
262	1376	3857
263	1381	3852
264	1387	3847
265	1393	3843
266	1398	3839
267	1404	3835
268	1409	3829
269	1413	3821
270	1417	3814
271	1423	3808
272	1427	3801
273	1431	3794
274	1436	3787
275	1441	3780
276	1445	3774
277	1450	3766
278	1455	3760
279	1459	3753
280	1464	3748
281	1470	3744
282	1475	3737
283	1480	3731
284	1485	3726
285	1490	3719
286	1494	3713
287	1499	3707
288	1504	3701
289	1509	3695
290	1513	3688
291	1518	3682
292	1523	3675
293	1527	3668
294	1532	3662
295	1537	3657
296	1542	3651
297	1546	3643
298	1551	3637
299	1556	3630
300	1560	3624
301	1565	3618
302	1570	3613
303	1575	3607
304	1580	3602
305	1585	3595
306	1590	3589
307	1594	3582
308	1599	3577
309	1603	3569
310	1608	3563
311	1613	3558
312	1618	3552
313	1622	3545
314	1627	3539
315	1633	3535
316	1639	3531
317	1643	3525
318	1648	3519
319	1652	3512
320	1657	3506
321	1664	3504
322	1669	3498
323	1675	3495
324	1681	3491
325	1686	3487
326	1692	3483
327	1697	3478
328	1702	3473
329	1707	3467
330	1712	3461
331	1716	3454
332	1721	3447
333	1725	3440
334	1729	3433
335	1734	3427
336	1739	3421
337	1743	3415
338	1748	3409
339	1752	3402
340	1756	3395
341	1761	3388
342	1766	3384
343	1771	3378
344	1776	3373
345	1781	3368
346	1786	3361
347	1790	3354
348	1795	3349
349	1800	3343
350	1804	3337
351	1809	3331
352	1814	3325
353	1819	3319
354	1824	3315
355	1828	3308
356	1833	3301
357	1837	3295
358	1842	3289
359	1846	3282
360	1850	3276
361	1856	3272
362	1861	3266
363	1866	3260
364	1871	3255
365	1875	3249
366	1880	3244
367	1885	3238
368	1890	3232
369	1894	3226
370	1899	3220
371	1904	3215
372	1909	3209
373	1913	3203
374	1918	3197
375	1923	3192
376	1928	3187
377	1933	3181
378	1938	3176
379	1943	3170
380	1947	3164
381	1952	3159
382	1957	3153
383	1962	3147
384	1966	3141
385	1971	3135
386	1976	3130
387	1981	3125
388	1987	3121
389	1992	3116
390	1997	3110
391	2003	3106
392	2008	3102
393	2013	3096
394	2018	3091
395	2023	3085
396	2027	3079
397	2032	3074
398	2038	3069
399	2043	3064
400	2048	3059
401	2053	3054
402	2057	3048
403	2063	3044
404	2068	3039
405	2073	3033
406	2078	3027
407	2083	3022
408	2087	3016
409	2092	3011
410	2097	3006
411	2102	3000
412	2107	2995
413	2112	2990
414	2117	2984
415	2122	2979
416	2127	2974
417	2131	2968
418	2136	2962
419	2141	2956
420	2146	2951
421	2150	2945
422	2155	2940
423	2160	2934
424	2165	2929
425	2170	2924
426	2175	2918
427	2180	2913
428	2185	2908
429	2189	2902
